,precision,recall,f1-score,support
(vertigo) Paroymsal  Positional Vertigo,1.0,1.0,1.0,24.0
AIDS,1.0,1.0,1.0,24.0
Acne,1.0,1.0,1.0,24.0
Alcoholic hepatitis,1.0,1.0,1.0,24.0
Allergy,1.0,1.0,1.0,24.0
Arthritis,1.0,1.0,1.0,24.0
Bronchial Asthma,1.0,1.0,1.0,24.0
Cervical spondylosis,1.0,1.0,1.0,24.0
Chicken pox,1.0,1.0,1.0,24.0
Chronic cholestasis,1.0,1.0,1.0,24.0
Common Cold,1.0,1.0,1.0,24.0
Conjunctivitis,1.0,1.0,1.0,20.0
Dengue,1.0,1.0,1.0,24.0
Diabetes ,1.0,1.0,1.0,24.0
Dimorphic hemmorhoids(piles),1.0,1.0,1.0,24.0
Drug Reaction,1.0,1.0,1.0,24.0
Food Poisoning,1.0,1.0,1.0,24.0
Fungal infection,1.0,1.0,1.0,24.0
GERD,1.0,1.0,1.0,24.0
Gastroenteritis,1.0,1.0,1.0,24.0
Hand Foot Mouth Disease,1.0,1.0,1.0,24.0
Heart attack,1.0,1.0,1.0,24.0
Heat Stroke,1.0,1.0,1.0,20.0
Hepatitis B,1.0,1.0,1.0,24.0
Hepatitis C,1.0,1.0,1.0,24.0
Hepatitis D,1.0,1.0,1.0,24.0
Hepatitis E,1.0,1.0,1.0,24.0
Hypertension ,1.0,1.0,1.0,24.0
Hyperthyroidism,1.0,1.0,1.0,24.0
Hypoglycemia,1.0,1.0,1.0,24.0
Hypothyroidism,1.0,1.0,1.0,24.0
Impetigo,1.0,1.0,1.0,24.0
Influenza,1.0,1.0,1.0,24.0
Jaundice,1.0,1.0,1.0,24.0
Malaria,1.0,1.0,1.0,24.0
Measles,1.0,1.0,1.0,24.0
Migraine,1.0,1.0,1.0,24.0
Mumps,0.8,1.0,0.8888888888888888,20.0
Osteoarthristis,1.0,1.0,1.0,24.0
Paralysis (brain hemorrhage),1.0,1.0,1.0,24.0
Peptic ulcer diseae,1.0,1.0,1.0,24.0
Pneumonia,1.0,1.0,1.0,24.0
Psoriasis,1.0,1.0,1.0,24.0
Scabies,1.0,1.0,1.0,20.0
Tonsillitis,1.0,0.75,0.8571428571428571,20.0
Tuberculosis,1.0,1.0,1.0,24.0
Typhoid,1.0,1.0,1.0,24.0
Urinary tract infection,1.0,1.0,1.0,24.0
Varicose veins,1.0,1.0,1.0,24.0
hepatitis A,1.0,1.0,1.0,24.0
accuracy,0.9957627118644068,0.9957627118644068,0.9957627118644068,0.9957627118644068
macro avg,0.996,0.995,0.994920634920635,1180.0
weighted avg,0.9966101694915255,0.9957627118644068,0.995695453322572,1180.0
